xm(x)	Prx(x)	x
0.000231421	5.57993	0.01
0.000893591	5.25917	0.02
0.00194119	4.95685	0.03
0.0038658	4.67191	0.04
0.00565591	4.40335	0.05
0.00770461	4.15023	0.06
0.0107841	3.91166	0.07
0.0133175	3.6868	0.08
0.0160138	3.47487	0.09
0.0198213	3.27512	0.1
0.0228088	3.08685	0.11
0.0258875	2.9094	0.12
0.0301047	2.74216	0.13
0.0333312	2.58453	0.14
0.0365967	2.43596	0.15
0.0409892	2.29593	0.16
0.044298	2.16395	0.17
0.0476078	2.03956	0.18
0.052007	1.92232	0.19
0.0552858	1.81181	0.2
0.0585391	1.70766	0.21
0.0628265	1.6095	0.22
0.0659974	1.51698	0.23
0.0691249	1.42978	0.24
0.0732204	1.34759	0.25
0.0762318	1.27012	0.26
0.0801611	1.19711	0.27
0.0830407	1.1283	0.28
0.0858605	1.06344	0.29
0.0886188	1.00231	0.3
0.092199	0.94469	0.31
0.0948097	0.890386	0.32
0.0981905	0.839203	0.33
0.10065	0.790962	0.34
0.103046	0.745494	0.35
0.105376	0.70264	0.36
0.108383	0.662249	0.37
0.110563	0.624181	0.38
0.113372	0.5883	0.39
0.115406	0.554482	0.4
0.117379	0.522608	0.41
0.11929	0.492567	0.42
0.121747	0.464252	0.43
0.123521	0.437565	0.44
0.125798	0.412412	0.45
0.12744	0.388705	0.46
0.129029	0.36636	0.47
0.130564	0.345301	0.48
0.13253	0.325451	0.49
0.133946	0.306743	0.5
0.135313	0.28911	0.51
0.137061	0.272491	0.52
0.138319	0.256827	0.53
0.139926	0.242064	0.54
0.141081	0.228149	0.55
0.142195	0.215034	0.56
0.143616	0.202673	0.57
0.144637	0.191022	0.58
0.145619	0.180042	0.59
0.146565	0.169692	0.6
0.147772	0.159938	0.61
0.148637	0.150744	0.62
0.149469	0.142078	0.63
0.150529	0.133911	0.64
0.151289	0.126213	0.65
0.152256	0.118958	0.66
0.152949	0.11212	0.67
0.153615	0.105675	0.68
0.154462	0.0996002	0.69
0.155068	0.0938747	0.7
0.15565	0.0884784	0.71
0.156209	0.0833923	0.72
0.15692	0.0785986	0.73
0.157428	0.0740804	0.74
0.157916	0.069822	0.75
0.158536	0.0658083	0.76
0.158979	0.0620254	0.77
0.159542	0.0584599	0.78
0.159944	0.0550994	0.79
0.160329	0.0519321	0.8
0.160819	0.0489468	0.81
0.161168	0.0461332	0.82
0.161503	0.0434812	0.83
0.161824	0.0409818	0.84
0.162231	0.038626	0.85
0.162522	0.0364056	0.86
0.1628	0.0343128	0.87
0.163154	0.0323404	0.88
0.163405	0.0304813	0.89
0.163725	0.0287291	0.9
0.163953	0.0270777	0.91
0.164171	0.0255211	0.92
0.164447	0.0240541	0.93
0.164644	0.0226714	0.94
0.164833	0.0213681	0.95
0.165013	0.0201398	0.96
0.165242	0.0189821	0.97
0.165405	0.0178909	0.98
0.165561	0.0168625	0.99
0.165758	0.0158931	1
0.165899	0.0149795	1.01
0.166033	0.0141185	1.02
0.166203	0.0133069	1.03
0.166325	0.0125419	1.04
0.166478	0.011821	1.05
0.166587	0.0111415	1.06
0.166692	0.010501	1.07
0.166824	0.00989736	1.08
0.166918	0.00932842	1.09
0.167008	0.00879218	1.1
0.167122	0.00828677	1.11
0.167203	0.00781042	1.12
0.16728	0.00736144	1.13
0.167378	0.00693828	1.14
0.167448	0.00653944	1.15
0.167514	0.00616352	1.16
0.167578	0.00580922	1.17
0.167658	0.00547528	1.18
0.167715	0.00516054	1.19
0.16777	0.00486389	1.2
0.167839	0.00458429	1.21
0.167888	0.00432077	1.22
0.167934	0.00407239	1.23
0.167994	0.0038383	1.24
0.168036	0.00361766	1.25
0.168076	0.0034097	1.26
0.168127	0.0032137	1.27
0.168163	0.00302896	1.28
0.168208	0.00285484	1.29
0.168241	0.00269073	1.3
0.168272	0.00253606	1.31
0.168311	0.00239028	1.32
0.168339	0.00225287	1.33
0.168365	0.00212337	1.34
0.168398	0.00200131	1.35
0.168422	0.00188627	1.36
0.168445	0.00177784	1.37
0.168474	0.00167564	1.38
0.168494	0.00157932	1.39
0.168513	0.00148853	1.4
0.168532	0.00140296	1.41
0.168555	0.00132232	1.42
0.168572	0.0012463	1.43
0.168588	0.00117466	1.44
0.168608	0.00110714	1.45
0.168622	0.00104349	1.46
0.168635	0.00098351	1.47
0.168652	0.000926974	1.48
0.168664	0.000873687	1.49
0.168676	0.000823464	1.5
0.168691	0.000776128	1.51
0.168701	0.000731513	1.52
0.168711	0.000689463	1.53
0.168723	0.00064983	1.54
0.168732	0.000612475	1.55
0.168743	0.000577267	1.56
0.168751	0.000544084	1.57
0.168759	0.000512808	1.58
0.168768	0.000483329	1.59
0.168775	0.000455546	1.6
0.168782	0.000429359	1.61
0.16879	0.000404678	1.62
0.168795	0.000381415	1.63
0.168801	0.00035949	1.64
0.168808	0.000338825	1.65
0.168813	0.000319348	1.66
0.168817	0.00030099	1.67
0.168822	0.000283688	1.68
0.168828	0.000267381	1.69
0.168831	0.000252011	1.7
0.168835	0.000237524	1.71
0.16884	0.00022387	1.72
0.168844	0.000211001	1.73
0.168847	0.000198872	1.74
0.168851	0.00018744	1.75
0.168854	0.000176665	1.76
0.168856	0.00016651	1.77
0.16886	0.000156938	1.78
0.168862	0.000147917	1.79
0.168866	0.000139414	1.8
0.168868	0.0001314	1.81
0.16887	0.000123846	1.82
0.168873	0.000116727	1.83
0.168874	0.000110017	1.84
0.168876	0.000103693	1.85
0.168878	9.77323e-005	1.86
0.16888	9.21142e-005	1.87
0.168882	8.68191e-005	1.88
0.168883	8.18284e-005	1.89
0.168885	7.71246e-005	1.9
0.168886	7.26911e-005	1.91
0.168887	6.85126e-005	1.92
0.168889	6.45742e-005	1.93
0.16889	6.08622e-005	1.94
0.168891	5.73636e-005	1.95
0.168892	5.40661e-005	1.96
0.168893	5.09582e-005	1.97
0.168894	4.80289e-005	1.98
0.168895	4.5268e-005	1.99
